Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
17-DEC-2025,AAREYDRUGS,Aarey Drugs & Pharm Ltd,SUVI RUBBER PVT LTD,BUY,600000,66.19,-
17-DEC-2025,AEQUS,Aequs Limited,MATHISYS ADVISORS LLP,BUY,4370788,157.29,-
17-DEC-2025,AEQUS,Aequs Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,4258033,157.08,-
17-DEC-2025,AKZOINDIA,Akzo Nobel India Limited,IRAGE BROKING SERVICES LLP,BUY,811632,3167.10,-
17-DEC-2025,AKZOINDIA,Akzo Nobel India Limited,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,281261,3155.60,-
17-DEC-2025,AKZOINDIA,Akzo Nobel India Limited,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BUY,335465,3150.00,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,265249,292.47,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,226410,301.35,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,MUSIGMA SECURITIES,BUY,186621,297.55,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,290398,299.43,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,203680,299.06,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,ALGOQUANT FINTECH LIMITED,BUY,157326,295.82,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,QICAP MARKETS LLP,BUY,188608,303.47,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,IRAGE BROKING SERVICES LLP,BUY,229412,301.29,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,QE SECURITIES LLP,BUY,454351,297.03,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,MATHISYS ADVISORS LLP,BUY,563214,296.90,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,HRTI PRIVATE LIMITED,BUY,645031,296.13,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,279835,299.78,-
17-DEC-2025,APEX,Apex Frozen Foods Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,498637,298.37,-
